3                                    
-1 La_insoportable_levedad_del_ser 1 
-1 Los_viajes_de_Gulliver 1
-1 El_senyor_dels_anells 1
-1 STL_Tutorial_and_reference_guide 2
-1 Avatar 3
-1 Pa_Negre 3
-3 2                                 
-3 1                               
-2 2 1                               
-3 1                                
-1 Celedonio_y_yo_somos_asi 3
-1 La_matanza_canibal_de_los_garrulos_lisergicos 3
-1 Historia_de_Genji 1
-1 Amar_sin_saber_a_quien 1
-1 La_insoportable_levedad_del_ser 3
-1 The_Art_of_Computer_Programming_Fundamental_Algorithms 2
-1 The_Art_of_Computer_Programming_Seminumerical_Algorithms 2 
-1 The_Art_of_Computer_Programming_Sorting_and_Searching 2
-1 La_casa_de_la_pradera 3
-1 El_perquè_de_tot_plegat 1
-1 La_epopeya_de_Gilgamesh_rey_de_Uruk 1
-1 Grandes_exitos_del_chaval_de_la_peca 3
-1 Historia_universal_de_la_infamia 1
-1 Seis_problemas_para_don_Isidro_Parodi 1
-1 Els_miralls 1
-1 Las_aventuras_del_bravo_soldado_Schweik 1
-1 Breve_encuentro 1
-3 1                                 
-3 2
-3 3
-2 2 1
-3 1
-2 2 2
-3 2
-2 3 3
-3 3
-1 Ana_Karenina 1
-1 Los_Maia 1
-3 1
-2 5 1
-3 1
-2 4 1
-3 1
-2 2 2
-3 2
-3 3
-2 4 3
-3 3
-1 Sueño_en_el_pabellon_rojo 1
-1 Generatingfunctionology 2
-1 Lola_Montez 3
-3 1
-3 2
-3 3
-4

