20 24

4 	11 	7 0
18 	12 	1 0
15 	5 	2 1
17 	3 	1 3
16 	9 	2 0
19 	2 	1 2
13 	10 	1 2
6 	8 	2 2
1 	20 	2 3
14 	7 	3 0

8 	18 	3 1
5 	6 	1 2
10 	15 	0 1
2 	13 	2 0
20 	19 	2 1
9 	1 	2 2
7 	16 	1 1
3 	14 	5 0
11 	17 	0 0
12 	4 	0 1

15 	2 	3 1
19 	9 	1 0
1 	7 	2 2
16 	3 	1 2
14 	11 	1 2
17 	12 	2 2
18 	4 	2 3
8 	5 	0 0
6 	10 	1 1
13 	20 	0 3

5 	18 	3 1
10 	8 	0 1
2 	6 	3 2
20 	15 	2 2
9 	13 	2 1
7 	19 	0 0
3 	1 	4 2
11 	16 	0 0
4 	17 	3 2
12 	14 	5 0

8 	2 	3 2
6 	20 	0 0
15 	9 	4 1
13 	7 	2 1
5 	10 	0 0
19 	3 	0 2
1 	11 	2 2
16 	12 	0 0
14 	4 	0 4
18 	17 	3 1

9 	6 	2 0
12 	1 	2 0
4 	16 	4 1
3 	13 	2 1
10 	18 	0 1
2 	5 	2 1
20 	8 	2 1
7 	15 	1 2
11 	19 	1 1
17 	14 	4 1

6 	7 	0 1
10 	2 	2 0
1 	4 	0 2
5 	20 	1 0
8 	9 	0 2
15 	3 	0 1
13 	11 	0 1
19 	12 	2 2
16 	17 	1 1
18 	14 	1 0

9 	5 	3 1
3 	6 	2 1
12 	13 	0 1
11 	15 	2 3
2 	18 	1 1
20 	10 	3 0
7 	8 	2 1
4 	19 	4 1
17 	1 	2 1
14 	16 	1 0

2 	20 	2 0
10 	9 	0 2
5 	7 	1 2
8 	3 	1 0
1 	14 	0 1
6 	11 	0 1
15 	12 	2 0
13 	4 	0 0
19 	17 	2 2
18 	16 	1 2

20 	18 	4 1
9 	2 	0 1
7 	10 	0 1
16 	1 	3 0
4 	15 	2 1
3 	5 	5 0
11 	8 	3 0
12 	6 	0 5
17 	13 	2 1
14 	19 	0 3

2 	7 	2 2
5 	11 	0 0
8 	12 	0 0
19 	16 	2 2
20 	9 	0 2
10 	3 	1 2
6 	4 	0 3
15 	17 	7 3
13 	14 	3 1
18 	1 	1 2

9 	18 	0 1
12 	5 	3 2
16 	13 	5 0
1 	19 	1 0
7 	20 	0 1
3 	2 	2 0
11 	10 	0 1
4 	8 	1 0
17 	6 	0 1
14 	15 	2 3

10 	12 	3 1
15 	16 	5 1
13 	1 	0 1
18 	19 	2 2
9 	7 	1 1
20 	3 	1 1
2 	11 	2 1
5 	4 	1 4
6 	14 	0 2
8 	17 	1 3

7 	18 	2 1
12 	2 	1 2
4 	10 	4 0
1 	15 	0 5
3 	9 	7 0
11 	20 	0 3
17 	5 	4 0
14 	8 	1 4
16 	6 	4 3
19 	13 	0 1

7 	3 	0 2
10 	17 	1 2
8 	16 	1 2
15 	19 	4 0
18 	13 	3 0
9 	11 	1 0
20 	12 	1 1
2 	4 	1 0
5 	14 	2 2
6 	1 	3 1

11 	7 	2 1
3 	18 	3 0
12 	9 	1 0
4 	20 	2 1
17 	2 	1 1
14 	10 	0 2
16 	5 	5 1
1 	8 	0 0
19 	6 	3 0
13 	15 	2 2

3 	11 	3 2
7 	12 	0 1
9 	4 	2 5
20 	17 	1 2
2 	14 	2 1
10 	16 	1 3
5 	1 	0 1
8 	19 	4 2
6 	13 	1 1
18 	15 	2 3

18 	11 	2 0
12 	3 	0 1
4 	7 	4 0
17 	9 	3 0
14 	20 	2 5
16 	2 	2 0
1 	10 	3 0
19 	5 	0 0
13 	8 	1 0
15 	6 	3 0

3 	4 	0 0
8 	15 	0 1
9 	14 	0 1
5 	13 	1 2
2 	1 	6 1
7 	17 	1 1
20 	16 	5 1
6 	18 	2 1
11 	12 	1 0
10 	19 	4 0

11 	4 	1 1
12 	18 	0 0
5 	15 	0 5
3 	17 	1 1
9 	16 	2 2
2 	19 	4 2
10 	13 	0 0
8 	6 	1 0
20 	1 	2 0
7 	14 	2 0

18 	8 	2 2
6 	5 	4 2
15 	10 	2 0
13 	2 	1 5
19 	20 	1 0
1 	9 	1 0
16 	7 	4 0
14 	3 	2 4
17 	11 	2 3
4 	12 	3 0

2 	15 	1 1
9 	19 	0 0
7 	1 	1 0
3 	16 	4 0
11 	14 	0 0
12 	17 	3 2
4 	18 	2 3
5 	8 	2 0
10 	6 	1 2
20 	13 	3 1

18 	5 	5 0
8 	10 	1 0
6 	2 	0 0
15 	20 	4 2
13 	9 	2 0
19 	7 	2 2
1 	3 	2 0
16 	11 	0 0
17 	4 	1 4
14 	12 	4 1

2 	8 	1 2
20 	6 	0 2
9 	15 	0 3
7 	13 	0 0
10 	5 	1 0
3	19 	3 0
11 	1 	1 0
12 	16 	0 1
4 	14 	6 0
17 	18 	0 0
